Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
1,Donte' Stallworth,NE,WR,1,20,20,26.3,0,10,5,10,13.3,66.5,2012
2,Andre Brown,NYG,RB,10,226,22.6,31.1,32.3,7.5,37.6,39.8,109.1,48.3,2012
3,Adrian Peterson,MIN,RB,16,771,48.2,74.5,45.1,6.6,50.3,51.8,347.4,45.1,2012
4,CJ Spiller,BUF,RB,16,569,35.6,56.3,36.4,10,43.9,46.4,255.3,44.9,2012
5,Marshawn Lynch,SEA,RB,16,674,42.1,66.3,46.7,4.5,50.1,51.2,269.6,40,2012
6,Terrelle Pryor,OAK,WR,3,70,23.3,6.5,14.3,1.4,58.6,58.6,26.5,37.9,2012
7,Stevan Ridley,NE,RB,16,550,34.4,44.4,52.7,2.5,53.8,55.3,205.4,37.3,2012
8,Jamaal Charles,KC,RB,16,577,36.1,54.8,49.4,8.3,55.5,57.7,239.5,41.5,2012
9,Kirk Cousins,WAS,QB,3,95,31.7,9.2,3.2,0,53.7,53.7,32.84,34.6,2012
10,Robert Griffin III,WAS,QB,15,938,62.5,90.8,12.8,0.1,54.7,54.8,317.5,33.8,2012
11,Alfred Morris,WAS,RB,16,727,45.4,70.4,46.1,2.2,47.6,48.3,252,34.7,2012
11,Colin Kaepernick,SF,QB,13,526,40.5,52.3,12,0,53.4,53.4,174.06,33.1,2012
13,Michael Turner,ATL,RB,16,476,29.8,44.9,46.6,6.3,50.6,52.9,175.8,36.9,2012
14,Aaron Rodgers,GB,QB,16,1071,66.9,97.1,5,0.1,56.7,56.7,344.6,32.2,2012
15,Doug Martin,TB,RB,16,821,51.3,78.3,38.9,8.5,44.8,47.4,311.6,38,2012
16,Darren Sproles,NO,RB,13,444,34.2,40.1,10.8,23.4,27.7,34.2,216.1,48.7,2012
17,Cam Newton,CAR,QB,16,1021,63.8,99.1,12.4,0,59.9,59.9,323.46,31.7,2012
18,Drew Brees,NO,QB,16,1094,68.4,98.8,1.4,0,62.6,62.6,345.58,31.6,2012
18,Arian Foster,HOU,RB,16,830,51.9,73.6,42.3,7,47.1,49.3,302.1,36.4,2012
20,DeAngelo Williams,CAR,RB,16,418,26.1,40.6,41.4,4.8,44.5,46.2,143.4,34.3,2012
21,Reggie Bush,MIA,RB,16,573,35.8,55.3,39.6,8.9,45.7,48.5,206.8,36.1,2012
22,Shonn Greene,NYJ,RB,16,568,35.5,52.9,48.6,5.5,51.9,54,186.4,32.8,2012
23,Matt Ryan,ATL,QB,16,1050,65.6,99.1,3.2,0,61.8,61.8,304.86,29,2012
23,Trent Richardson,CLE,RB,15,702,46.8,68.1,38,10,45.3,48,254.7,36.3,2012
23,Willis McGahee,DEN,RB,10,391,39.1,57.2,42.7,8.4,49.4,51.2,139.2,35.6,2012
26,Russell Wilson,SEA,QB,16,979,61.2,96.4,9.6,0,49.7,49.7,275.62,28.2,2012
26,Mikel Leshoure,DET,RB,14,529,37.8,49.5,40.6,9.1,47.1,49.7,183.2,34.6,2012
28,Tom Brady,NE,QB,16,1215,75.9,98.1,1.9,0,54.3,54.3,340.28,28,2012
28,Peyton Manning,DEN,QB,16,1110,69.4,97.1,2.1,0,54.6,54.6,310.96,28,2012
30,Frank Gore,SF,RB,16,729,45.6,72.5,35.4,4.9,39.2,40.3,230.8,31.7,2012
30,Danny Woodhead,NE,RB,16,420,26.2,33.9,18.1,13.1,27.6,31.2,156.7,37.3,2012
32,James Starks,GB,RB,6,125,20.8,11.3,56.8,4.8,60,61.6,38.6,30.9,2012
33,Ray Rice,BAL,RB,16,811,50.7,74.3,31.7,10.2,39.2,41.9,283.1,34.9,2012
34,Joique Bell,DET,RB,16,382,23.9,31.9,21.5,18.1,35.1,39.5,155.9,40.8,2012
35,Knowshon Moreno,DEN,RB,8,338,42.2,29.6,40.8,7.7,47,48.5,112.2,33.2,2012
36,Ben Roethlisberger,PIT,QB,13,834,64.2,78.2,3.1,0,57,57,223.8,26.8,2012
36,Brandon Meriweather,WAS,SS,1,41,41,6,0,0,0,0,11,26.8,2012
38,JJ Watt,HOU,DE,16,937,58.6,89,0,0,0,0,244.9,26.1,2012
39,Ahmad Bradshaw,NYG,RB,14,600,42.9,58.8,36.8,5.2,40.7,42,179,29.8,2012
40,Maurice Jones-Drew,JAX,RB,6,240,40,24.3,35.8,7.5,41.7,43.3,76,31.7,2012
41,Tony Romo,DAL,QB,16,1089,68.1,99,2.8,0.1,62.4,62.4,279.92,25.7,2012
41,Matt Forte,CHI,RB,15,693,46.2,66.3,35.8,8.7,42.1,44.4,221.4,31.9,2012
43,Kevin Boss,KC,TE,2,49,24.5,15.9,0,6.1,6.1,6.1,15.5,31.6,2012
44,Alex Smith,SF,QB,16,484,30.2,48.2,6.4,0,51.4,51.4,122.68,25.3,2012
45,Pierre Thomas,NO,RB,15,384,25.6,36.8,27.3,13.8,37.5,41.1,133.7,34.8,2012
45,Darrelle Revis,NYJ,CB,2,91,45.5,26.5,0,0,0,0,22.5,24.7,2012
47,Fred Jackson,BUF,RB,10,331,33.1,40.5,34.7,12.7,45,47.4,115.4,34.9,2012
48,Michael Crabtree,SF,WR,16,675,42.2,67.2,0.1,18.7,12.7,18.8,250.3,37.1,2012
49,Andy Dalton,CIN,QB,16,1027,64.2,97.2,4.6,0,56,56,250.76,24.4,2012
49,Felix Jones,DAL,RB,16,379,23.7,34.5,29.3,9.5,35.9,38.8,117.4,31,2012
51,Randall Cobb,GB,WR,15,635,42.3,57.6,1.6,16.4,14.2,18,234.6,36.9,2012
51,Ryan Mathews,LAC,RB,12,403,33.6,44.1,45.7,14.1,55.3,59.8,136.9,34,2012
51,Kevin Kolb,ARI,QB,6,349,58.2,40.2,4.6,0,57,57,84.76,24.3,2012
54,Josh Freeman,TB,QB,16,1037,64.8,98.9,3.8,0,57.6,57.6,248.5,24,2012
54,Bryce Brown,PHI,RB,16,334,20.9,29.6,34.4,5.7,38.3,40.1,93,27.8,2012
56,DeMarco Murray,DAL,RB,10,469,46.9,42.6,34.3,9,41.8,43.3,146.4,31.2,2012
56,Pierre Garcon,WAS,WR,10,395,39.5,38.2,0.5,17,11.6,17.5,138.2,35,2012
58,Andrew Luck,IND,QB,16,1169,73.1,100,5.3,0,58.9,58.9,276.46,23.6,2012
58,Percy Harvin,MIN,WR,9,420,46.7,54.1,5.2,20.2,20,25.5,161.3,38.4,2012
60,Carson Palmer,OAK,QB,15,953,63.5,88.2,1.9,0,61.2,61.2,224.32,23.5,2012
61,Matthew Stafford,DET,QB,16,1180,73.8,98.4,3,0.1,64.7,64.7,276.58,23.4,2012
61,Joe Flacco,BAL,QB,16,1002,62.6,91.8,3.2,0,56.2,56.2,234.88,23.4,2012
61,Mohamed Sanu,CIN,WR,9,204,22.7,25.5,2.5,12.3,10.8,15.2,63.82,31.3,2012
64,BenJarvus Green-Ellis,CIN,RB,15,652,43.5,61.7,42.6,4.4,46,47.1,173.8,26.7,2012
65,Eli Manning,NYG,QB,16,1005,62.8,98.5,2,0,55.3,55.3,232.92,23.2,2012
66,Santana Moss,WAS,WR,16,454,28.4,43.9,0.7,13.7,9.7,14.3,145.7,32.1,2012
66,Isaac Redman,PIT,RB,14,309,22.1,29,35.6,7.4,41.7,43,90.4,29.3,2012
68,Steven Jackson,LAR,RB,16,707,44.2,67.7,36.4,7.5,41.7,43.8,200.3,28.3,2012
68,Lance Moore,NO,WR,15,608,40.5,54.9,0,17.1,10.7,17.1,205.1,33.7,2012
70,Wallace Gilberry,CIN,DE,14,309,22.1,31.5,0,0,0,0,70.3,22.8,2012
71,Michael Vick,PHI,QB,10,667,66.7,59.2,9.3,0,61.9,61.9,151.68,22.7,2012
72,Dez Bryant,DAL,WR,16,920,57.5,83.6,0.2,15,10.2,15.2,299.7,32.6,2012
73,Danario Alexander,LAC,WR,10,480,48,76.8,0,12.9,7.9,13.1,144.8,30.2,2012
74,Brandon Marshall,CHI,WR,16,969,60.6,92.6,0.1,20,12.3,20.1,334.6,34.5,2012
75,Sam Bradford,LAR,QB,16,1036,64.8,99.2,3.6,0,56.8,56.8,230.78,22.3,2012
75,Jake Locker,TEN,QB,11,593,53.9,59.5,6.9,0,59.9,59.9,132.14,22.3,2012
77,Julio Jones,ATL,WR,16,836,52.2,78.9,0.7,15.4,10.2,16.1,261.8,31.3,2012
77,Jimmy Graham,NO,TE,15,695,46.3,62.8,0,19.4,12.2,19.4,237.2,34.1,2012
79,Chris Johnson,TEN,RB,16,813,50.8,81.6,33.9,6,38.4,40,211.5,26,2012
80,Ryan Fitzpatrick,BUF,QB,16,997,62.3,98.6,4.8,0,55.5,55.5,213.7,21.4,2012
80,William Hayes,LAR,DE,16,369,23.1,34.3,0,0,0,0,78.8,21.4,2012
80,Jarius Wright,MIN,WR,7,206,29.4,19.9,1,17.5,11.7,18.4,66.1,32.1,2012
83,Jonathan Dwyer,PIT,RB,13,380,29.2,35.6,41.1,6.6,45.8,47.6,98.9,26,2012
84,AJ Green,CIN,WR,16,960,60,90.8,0.4,17.1,10.5,17.5,299.8,31.2,2012
84,Daniel Thomas,MIA,RB,12,323,26.9,35.4,28.2,6.8,32.8,35,83.1,25.7,2012
86,Cecil Shorts,JAX,WR,14,656,46.9,66.3,0.2,16,8.5,16.2,192.5,29.3,2012
87,LeSean McCoy,PHI,RB,12,695,57.9,61.7,28.8,9.6,36.5,38.4,199.3,28.7,2012
88,LaRod Stephens-Howling,ARI,RB,14,338,24.1,32.1,32.5,8.9,37.6,41.4,87.2,25.8,2012
89,Chad Henne,JAX,QB,10,546,54.6,51.4,3.5,0.2,60.1,60.1,114.16,20.9,2012
90,Marques Colston,NO,WR,16,831,51.9,75.1,0,15.6,10,15.6,254.4,30.6,2012
90,Bilal Powell,NYJ,RB,14,397,28.4,37,27.7,9.1,32,36.8,98.7,24.9,2012
92,Cedric Benson,GB,RB,5,199,39.8,57.2,35.7,7.5,42.7,43.2,54.5,27.4,2012
93,Philip Rivers,LAC,QB,16,1025,64.1,100,2.6,0.1,54,54.1,208.24,20.3,2012
94,Matt Schaub,HOU,QB,16,1104,69,98,1.9,0.1,51.3,51.3,223.82,20.3,2012
95,Jay Cutler,CHI,QB,15,920,61.3,88,4.5,0,51.6,51.6,184.62,20.1,2012
96,Von Miller,DEN,OLB,16,962,60.1,89.9,0,0,0,0,192.4,20,2012
97,Zach Brown,TEN,ILB,16,742,46.4,65.8,0,0,0,0,147.8,19.9,2012
97,Jordy Nelson,GB,WR,12,595,49.6,53.9,0,12.3,8.2,12.3,167.5,28.2,2012
99,Vick Ballard,IND,RB,16,579,36.2,49.5,36.4,4.7,39.4,41.1,131.6,22.7,2012
100,Donald Brown,IND,RB,10,299,29.9,30.7,36.1,4.3,39.1,40.5,68,22.7,2012
